City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mar del plata,0.0,AR,1573486765.0,45.0,-46.43,-67.52,18.06,2.71
tiksi,100.0,RU,1573486766.0,91.0,71.64,128.87,-18.45,2.49
hermanus,100.0,ZA,1573486766.0,81.0,-34.42,19.24,21.11,2.68
qaanaaq,0.0,GL,1573486766.0,52.0,77.48,-69.36,-15.0,2.25
bredasdorp,79.0,ZA,1573486766.0,77.0,-34.53,20.04,21.11,8.2
mahebourg,75.0,MU,1573486767.0,78.0,-20.41,57.7,26.0,3.6
tuktoyaktuk,90.0,CA,1573486767.0,92.0,69.44,-133.03,-3.0,10.3
lompoc,90.0,US,1573486551.0,100.0,34.64,-120.46,14.44,1.5
goure,100.0,NE,1573486514.0,11.0,13.98,10.27,35.0,0.89
norman wells,75.0,CA,1573486498.0,84.0,65.28,-126.83,-15.0,1.0
buribay,49.0,RU,1573486768.0,82.0,51.96,58.16,-0.34,2.42
yellowknife,40.0,CA,1573486509.0,78.0,62.45,-114.38,-9.44,1.0
rikitea,100.0,PF,1573486768.0,92.0,-23.12,-134.97,22.02,11.2
thompson,20.0,CA,1573486768.0,67.0,55.74,-97.86,-32.0,1.66
borogontsy,100.0,RU,1573486769.0,98.0,62.67,131.17,-26.79,2.21
hay river,20.0,CA,1573486769.0,71.0,60.82,-115.79,-15.0,3.6
carnarvon,0.0,ZA,1573486769.0,10.0,-30.97,22.13,28.18,9.14
mataura,67.0,NZ,1573486769.0,85.0,-46.19,168.86,5.56,1.79
paka,100.0,CF,1573486770.0,54.0,4.15,15.03,29.21,0.91
vaini,20.0,IN,1573486770.0,73.0,15.34,74.49,23.0,2.1
terrace,90.0,CA,1573486770.0,92.0,54.52,-128.61,-0.57,6.7
tadine,11.0,NC,1573486770.0,76.0,-21.55,167.88,18.66,3.47
mount gambier,90.0,AU,1573486514.0,81.0,-37.83,140.78,11.0,6.7
bluff,90.0,AU,1573486771.0,71.0,-23.58,149.07,19.53,3.16
alta floresta,100.0,BR,1573486771.0,95.0,-9.87,-56.08,22.62,1.0
kiunga,100.0,PG,1573486771.0,99.0,-6.12,141.3,22.72,1.25
half moon bay,90.0,US,1573486608.0,100.0,37.46,-122.43,12.78,2.1
katobu,1.0,ID,1573486772.0,83.0,-4.94,122.53,24.39,1.59
jamestown,8.0,AU,1573486718.0,92.0,-33.21,138.6,12.06,6.22
esperance,90.0,AU,1573486498.0,71.0,-33.86,121.89,12.0,2.1
salalah,20.0,OM,1573486772.0,61.0,17.01,54.1,27.0,1.5
